Collection	Group	Name	Sample Type	StatesFileLoc.hg38	StatesFileLoc.hg19
E001	PrimaryHMM	E001 ES-I3 Cells	hES-I3	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E001_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E001_15_coreMarks_dense.bed.gz
E002	PrimaryHMM	E002 ES-WA7 Cells	WA-7	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E002_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E002_15_coreMarks_dense.bed.gz
E003	PrimaryHMM	E003 H1 Cells	H1	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E003_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E003_15_coreMarks_dense.bed.gz
E004	PrimaryHMM	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	H1 BMP4 Derived Mesendoderm Cultured Cells	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E004_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E004_15_coreMarks_dense.bed.gz
E005	PrimaryHMM	E005 H1 BMP4 Derived Trophoblast Cultured Cells	H1 BMP4 Derived Trophoblast Cultured Cells	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E005_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E005_15_coreMarks_dense.bed.gz
E006	PrimaryHMM	E006 H1 Derived Mesenchymal Stem Cells	H1 Derived Mesenchymal Stem Cells	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E006_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E006_15_coreMarks_dense.bed.gz
E007	PrimaryHMM	E007 H1 Derived Neuronal Progenitor Cultured Cells	H1 Derived Neuronal Progenitor Cultured Cells	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E007_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E007_15_coreMarks_dense.bed.gz
E008	PrimaryHMM	E008 H9 Cells	H9	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E008_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E008_15_coreMarks_dense.bed.gz
E009	PrimaryHMM	E009 H9 Derived Neuronal Progenitor Cultured Cells	H9 Derived Neuronal Progenitor Cultured Cells	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E009_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E009_15_coreMarks_dense.bed.gz
E010	PrimaryHMM	E010 H9 Derived Neuron Cultured Cells	H9 Derived Neuron Cultured Cells	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E010_15_coreMarks_hg38lift_dense.bed.gz	https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E010_15_coreMarks_dense.bed.gz
