Description	ChromHMM collection(s)	Segway collection(s)
Foreskin Melanocyte	E059,  E061	ENCFF057CIV, ENCFF913PHL
IMR90	E017	ENCFF212LYI
K562	E123	ENCFF089AXD
HepG2	E118	ENCFF393SXJ
HUES64	E016	ENCFF491WQH
HUES48	E014	ENCFF580JOV
H9	E008	ENCFF872XRN
H9 Derived Neuronal Progenitor	E009	ENCFF422UYG
H9 Derived Neuron	E010	ENCFF420AIM
H1	E003	ENCFF828JJT
HUES6	E015	ENCFF870IVU
iPS-18	E019	ENCFF105WPE
iPS-20b	E020	ENCFF161QPS
iPS DF 6.9	E021	ENCFF707KUS
iPS DF 19.11	E022	ENCFF241SVT
ES-I3	E001	ENCFF707CBA
H7 (ES-WA7)	E002	ENCFF028ZWL, ENCFF645UGL
H1 BMP4 Derived Mesendoderm	E004	ENCFF241EAU
H1 BMP4 Derived Trophoblast	E005	ENCFF685FRZ
H1 Derived Mesenchymal Stem	E006	ENCFF132DRZ, ENCFF441FKC
H1 Derived Neuronal Progenitor	E007	ENCFF422UYG
hESC Derived CD184+ Endoderm	E011	ENCFF480WAP
hESC Derived CD56+ Ectoderm	E012	ENCFF095SYK
hESC Derived CD56+ Mesoderm	E013	ENCFF662MJX
iPS-15b	E018	ENCFF497DHN
Mesenchymal Stem Cell Derived Adipocyte	E023	ENCFF603ZFR
ES-UCSF4	E024	---
Adipose Derived Mesenchymal Stem Cell	E025	ENCFF132DRZ, ENCFF441FKC
Bone Marrow Derived Mesenchymal Stem Cell	E026	ENCFF132DRZ, ENCFF441FKC
Breast Myoepithelial	E027	ENCFF457BIN
Breast variant Human Mammary Epithelial (vHMEC)	E028	ENCFF108CAF, ENCFF483DPU
Primary monocytes from peripheral blood	E029	ENCFF065TKH, ENCFF749XCR
Primary neutrophils from peripheral blood	E030	---
Primary B cells from cord blood	E031	ENCFF134LMV
Primary B cells from peripheral blood	E032	ENCFF134LMV
Primary T cells from cord blood	E033	ENCFF028REP, ENCFF266EQD
Primary T cells from peripheral blood	E034	ENCFF028REP, ENCFF266EQD
Primary hematopoietic stem cells	E035	---
