geneID	geneSymbol	log2FC	AveExpr	P.Value	FDR	KO_2hr.AveExpr	DMSO.AveExpr	2106340_KO_2hr1	2106341_KO_2hr2	2106342_KO_2hr3	2106328_DMSO_1	2106329_DMSO_2	2106330_DMSO_3	Regulation	PRank	FCPRank	FCRank	FCPERank
ENSG00000125740.14	FOSB	4.56	0.93	3.6766e-05	0.01745649	3.21	-1.25	2.56	3.75	3.3	-1.17	-1.6	-1.27	Up2	4.434553617137483	20.22156449414692	4.56	1.8806054979556637
ENSG00000188389.11	PDCD1	4.42	-4.21	8.2099e-05	0.02374968	-1.86	-4.65	-2.32	-2.36	-1.34	-7.01	-5.37	-6.88	Up2	4.085662132735941	18.058626626692856	4.42	0.0018058626626692856
ENSG00000179388.9	EGR3	4.13	-0.96	8.6694e-05	0.02374968	1.11	-2.69	0.59	1.13	1.57	-3.31	-3.78	-1.93	Up2	4.062010958545248	16.77610525879188	4.13	0.001677610525879188
ENSG00000277947.1	SNORD3D	8.29	-2.31	0.01169458	0.16673702	1.88	-4.69	3.75	2.5	-0.66	-7.01	-6.53	-5.9	Up2NoFDR	1.9320153708584868	16.016407424416855	8.29	0.0016016407424416855
ENSG00000118523.6	CCN2	3.03	6.14	8.0578e-06	0.00862991	7.66	4.62	7.37	8.07	7.53	4.71	5.11	4.04	Up2	5.0937835162941685	15.43416405437133	3.03	9.476576729383996
ENSG00000166886.13	NAB2	1.85	5.85	1.2573000000000001e-08	0.00022892	6.77	4.92	6.74	6.75	6.83	4.95	4.83	4.98	Up2	7.900561084446492	14.616038006226013	1.85	8.550382233642217
ENSG00000128342.5	LIF	2.89	3.62	1.2394e-05	0.01187633	5.07	2.19	4.79	5.6	4.82	2.28	2.19	2.07	Up2	4.90678850818634	14.180618788658522	2.89	5.133384001494385
ENSG00000122877.16	EGR2	2.92	-0.68	4.7685e-05	0.0180876	0.8	-1.97	0.42	0.89	1.04	-1.58	-2.7	-2.13	Up2	4.321618213029546	12.619125182046274	2.92	0.0012619125182046274
ENSG00000145198.14	VWA5B2	2.78	-0.23	3.0236e-05	0.01745649	1.17	-1.5	1.02	1.32	1.12	-1.03	-2.31	-1.53	Up2	4.519475663330568	12.56414234405898	2.78	0.001256414234405898
ENSG00000120738.8	EGR1	2.69	3.23	2.9544e-05	0.01745649	4.57	1.9	4.27	4.59	4.84	2.05	1.16	2.46	Up2	4.529530705357077	12.18443759741054	2.69	3.9355733439636045
ENSG00000248724.6	NPHP3-AS1	2.57	-2.73	7.5283e-05	0.02329198	-1.35	-3.49	-1.53	-1.54	-1.27	-3.84	-4.15	-4.08	Up2	4.123303082759789	10.596888922692658	2.57	0.0010596888922692659
ENSG00000170500.12	LONRF2	2.71	-2.82	0.00015156	0.03018207	-1.37	-3.59	-1.21	-1.71	-1.48	-4.68	-3.78	-4.08	Up2	3.819415403397044	10.35061574320599	2.71	0.001035061574320599
ENSG00000123358.20	NR4A1	2.36	0.66	4.6075e-05	0.01797011	1.84	-0.45	1.42	2.15	1.92	-0.74	-0.61	-0.17	Up2	4.3365346561088876	10.234221788416976	2.36	0.6754586380355204
ENSG00000135625.7	EGR4	3.6	-3.06	0.00174214	0.07534241	-1.18	-3.82	-1.62	-1.14	-1.04	-7.01	-4.15	-3.42	Up2NoFDR	2.7589169476151643	9.932101011414591	3.6	0.0009932101011414592
ENSG00000134107.4	BHLHE40	1.69	3.7	1.4435e-06	0.00403513	4.55	2.87	4.36	4.65	4.61	2.94	2.7	2.94	Up2	5.84058321178326	9.87058562791371	1.69	3.652116682328073
ENSG00000273294.1	C1QTNF3-AMACR	3.82	-2.7	0.0026907	0.08891028	-0.73	-3.64	-1.4	-0.79	-0.2	-7.01	-3.44	-3.37	Up2NoFDR	2.5701347212654393	9.817914635233977	3.82	0.0009817914635233977
ENSG00000111252.10	SH2B3	1.38	6.65	8.5325e-08	0.00051784	7.34	5.96	7.34	7.4	7.28	5.95	5.89	6.04	Up2	7.068923703049323	9.755114710208066	1.38	6.487151282288364
ENSG00000116285.13	ERRFI1	1.75	8.11	2.903e-06	0.00480504	8.99	7.24	8.73	9.29	8.96	7.16	7.2	7.36	Up2	5.5371529641683255	9.69001768729457	1.75	7.858604344395896
ENSG00000271857.1	AL096865.1	2.05	-0.21	2.3791e-05	0.01745649	0.84	-1.15	0.9	0.72	0.83	-1.03	-1.6	-1.1	Up2	4.623587303008782	9.478353971168005	2.05	0.0009478353971168006
ENSG00000166592.12	RRAD	2.37	-1.24	0.00015827	0.03018207	-0.02	-2.23	-0.42	0.43	-0.2	-2.48	-2.43	-2.36	Up2	3.800601397640383	9.00742531240771	2.37	0.000900742531240771
ENSG00000101384.12	JAG1	1.26	6.52	8.2566e-08	0.00051784	7.15	5.89	7.12	7.17	7.16	5.96	5.88	5.84	Up2	7.0831987547647115	8.924830431003537	1.26	5.818989441014305
ENSG00000261771.5	DNAAF4-CCPG1	4.54	-2.74	0.01159332	0.16609483	-0.43	-3.56	-1.27	-0.85	0.67	-7.01	-1.11	-6.88	Up2NoFDR	1.9357921765293706	8.788496481443344	4.54	0.0008788496481443344
ENSG00000158792.16	SPATA2L	1.54	3.28	2.0039e-06	0.00405382	4.06	2.52	4.12	4.17	3.88	2.55	2.51	2.47	Up2	5.698123954726845	8.775110890279343	1.54	2.8782363720116244
ENSG00000144655.15	CSRNP1	1.51	4.83	2.4766e-06	0.00450916	5.59	4.08	5.53	5.8	5.43	4.18	4.04	4.02	Up2	5.606144131412038	8.465277638432179	1.51	4.088729099362742
ENSG00000106366.8	SERPINE1	2.14	6.81	0.00012443	0.02634255	7.88	5.74	7.65	8.37	7.63	5.96	6.14	5.13	Up2	3.9050748988758373	8.356860283594294	2.14	5.6910218531277135
ENSG00000101096.20	NFATC2	1.83	2.28	3.0508000000000003e-05	0.01745649	3.19	1.38	2.89	3.47	3.21	1.32	1.64	1.15	Up2	4.515586262283323	8.263522859978483	1.83	1.8840832120750939
ENSG00000082497.12	SERTAD4	2.18	-1.74	0.00026519	0.03486388	-0.6	-2.56	-0.79	-0.52	-0.66	-3.31	-2.2	-2.98	Up2	3.5764428566877076	7.796645427579204	2.18	0.0007796645427579204
ENSG00000115194.10	SLC30A3	2.12	-0.65	0.00021373	0.03189654	0.44	-1.59	0.3	0.24	0.69	-1.51	-1.28	-2.36	Up2	3.670134514241992	7.780685170193024	2.12	0.0007780685170193024
ENSG00000142871.17	CCN1	1.84	4.07	6.3704e-05	0.02108826	4.99	3.15	4.78	5.42	4.77	3.34	3.29	2.82	Up2	4.195833297281801	7.720333266998515	1.84	3.142175639668396
ENSG00000197019.5	SERTAD1	1.3	4.31	1.4061000000000002e-06	0.00403513	4.96	3.66	4.91	5.1	4.87	3.62	3.65	3.72	Up2	5.8519837917601265	7.607578929288166	1.3	3.278866518523199
ENSG00000275993.2	SIK1B	1.66	3.89	2.8307e-05	0.01745649	4.72	3.07	4.63	4.76	4.77	2.73	2.93	3.55	Up2	4.548106155095639	7.5498562174587605	1.66	2.936894068591458
ENSG00000185022.12	MAFF	1.77	3.7	6.0043e-05	0.02062638	4.59	2.83	4.52	5.01	4.23	2.85	2.83	2.78	Up2	4.221537616713637	7.472121581583138	1.77	2.764684985185761
ENSG00000229334.1	AC046143.1	1.66	0.13	3.4509e-05	0.01745649	0.97	-0.64	1.04	0.93	0.9	-0.63	-0.93	-0.54	Up2	4.4620676254889915	7.407032258311727	1.66	0.09629141935805245
ENSG00000123095.6	BHLHE41	2.27	-2.3	0.00059866	0.05064443	-1.09	-3.06	-1.53	-0.64	-1.34	-3.1	-3.78	-3.42	Up2NoFDR	3.222819758656751	7.315800852150826	2.27	0.0007315800852150826
ENSG00000125398.8	SOX9	1.64	4.86	3.5039e-05	0.01745649	5.68	4.04	5.63	6.02	5.39	4.11	4.23	3.79	Up2	4.455448296929731	7.30693520696476	1.64	3.551170510584874
ENSG00000129654.8	FOXJ1	2.48	-2.27	0.00212805	0.0808883	-0.97	-3.08	-1.53	-1.14	-0.46	-2.92	-4.63	-2.98	Up2NoFDR	2.6720181722092295	6.6266050670788905	2.48	0.0006626605067078891
ENSG00000276027.1	RNU12	3.84	-1.98	0.02052102	0.21168627	-0.05	-2.93	-1.12	0.04	0.79	-7.01	-4.14	-0.43	Up2NoFDR	1.6878010563593362	6.4811560564198505	3.84	0.0006481156056419851
ENSG00000047365.12	ARAP2	2.01	-0.27	0.00065396	0.052793	0.75	-1.17	0.55	0.72	0.91	-1.39	-2.0	-0.41	Up2NoFDR	3.184448814841703	6.400742117831824	2.01	0.0006400742117831824
ENSG00000006327.13	TNFRSF12A	1.71	6.08	0.00023063	0.03335074	6.94	5.23	7.03	7.17	6.61	5.53	5.53	4.61	Up2	3.637084201000405	6.219413983710693	1.71	3.7814037020961013
ENSG00000100065.15	CARD10	1.23	4.2	9.6042e-06	0.0097146	4.82	3.59	4.77	5.0	4.68	3.45	3.66	3.66	Up2	5.017538804675819	6.171572729751258	1.23	2.5920605464955284
ENSG00000183696.14	UPP1	1.26	3.31	1.4193e-05	0.01292094	3.94	2.68	3.91	4.11	3.79	2.83	2.63	2.56	Up2	4.847925797231772	6.108386504512033	1.26	2.021875932993483
ENSG00000170345.10	FOS	1.79	2.09	0.00040936	0.04234803	2.98	1.21	2.54	3.38	3.01	1.33	0.68	1.58	Up2	3.3878945960359386	6.064331326904331	1.79	1.2674452473230051
ENSG00000142178.8	SIK1	1.57	5.16	0.00015706	0.03018207	5.95	4.39	5.77	6.02	6.05	4.09	4.08	4.98	Up2	3.803934406883696	5.972177018807403	1.57	3.08164334170462
ENSG00000172738.12	TMEM217	1.48	0.42	0.00011596	0.02603581	1.17	-0.27	0.87	1.35	1.25	-0.32	-0.27	-0.37	Up2	3.93569179331704	5.824823854109219	1.48	0.24464260187258718
ENSG00000179133.13	C10orf67	1.55	1.04	0.00017509	0.03018207	1.83	0.3	1.95	1.83	1.67	0.63	-0.21	0.37	Up2	3.756738657279415	5.822944918783094	1.55	0.6055862715534418
ENSG00000162783.10	IER5	1.0	6.84	1.7041e-06	0.00403513	7.34	6.34	7.37	7.42	7.22	6.32	6.3	6.39	Up2	5.76850492355177	5.76850492355177	1.0	3.9456573677094107
ENSG00000198142.5	SOWAHC	1.0	5.55	1.7730000000000002e-06	0.00403513	6.05	5.05	6.02	6.14	5.99	5.04	4.98	5.13	Up2	5.7512912643990814	5.751291264399082	1.0	3.1919666517414904
ENSG00000215472.10	RPL17-C18orf32	1.63	1.0	0.00029864	0.03649199	1.82	0.22	1.64	2.06	1.74	-0.27	0.71	0.12	Up2	3.5248520230817513	5.745508797623255	1.63	0.5745508797623254
ENSG00000117152.13	RGS4	1.81	2.68	0.00078851	0.05464891	3.58	1.79	3.52	3.12	4.1	1.88	1.22	2.22	Up2NoFDR	3.103192794513544	5.616778958069514	1.81	1.50529676076263
ENSG00000231164.1	RPL7P56	1.92	-2.96	0.00120536	0.06416968	-1.85	-3.42	-1.62	-2.23	-2.12	-3.55	-4.15	-4.08	Up2NoFDR	2.9188832247376233	5.604255791496238	1.92	0.0005604255791496238
ENSG00000162595.6	DIRAS3	1.42	3.63	0.00011651	0.02603581	4.34	2.93	4.01	4.37	4.62	2.71	3.2	2.87	Up2	3.933636797741505	5.585764252792938	1.42	2.0276324237638366
ENSG00000202444.1	RNU5E-6P	2.97	-2.79	0.01397333	0.17866039	-1.24	-3.35	-1.54	-1.15	-1.29	-7.01	-3.52	-2.26	Up2NoFDR	1.8547000843447874	5.508459250504019	2.97	0.0005508459250504018
ENSG00000136114.17	THSD1	1.28	4.31	5.5186e-05	0.0193227	4.95	3.68	4.94	5.23	4.67	3.77	3.66	3.57	Up2	4.258171083392306	5.450458986742152	1.28	2.3491478232858674
ENSG00000253899.1	AC067904.2	1.44	-0.13	0.00016897	0.03018207	0.61	-0.79	0.71	0.68	0.37	-0.82	-1.02	-0.73	Up2	3.772190395924784	5.431954170131689	1.44	0.000543195417013169
ENSG00000105722.10	ERF	1.03	5.97	5.459e-06	0.00662612	6.49	5.45	6.47	6.54	6.45	5.57	5.51	5.26	Up2	5.262886905694039	5.42077351286486	1.03	3.2362017871803217
ENSG00000113070.8	HBEGF	1.98	3.04	0.00183564	0.0779056	4.03	2.06	3.96	4.8	3.33	2.14	2.33	1.68	Up2NoFDR	2.736212487265239	5.417700724785174	1.98	1.6469810203346928
