geneID	geneSymbol	log2FC	AveExpr	P.Value	FDR	DMSO_EGF_10min.AveExpr	DMSO_UT.AveExpr	2106331_DMSO_EGF_10min1	2106332_DMSO_EGF_10min2	2106333_DMSO_EGF_10min3	2106328_DMSO_UT_1	2106329_DMSO_UT_2	2106330_DMSO_UT_3	Regulation	PRank	FCPRank	FCRank	FCPERank
ENSG00000224864.4	AC011447.1	3.24	-2.97	0.00729145	0.9999899999999999	-1.25	-3.66	-0.85	-1.87	-1.31	-2.58	-6.92	-4.29	Up2NoFDR	2.1371860979673625	6.924482957414255	3.24	0.0006924482957414255
ENSG00000236194.3	AC099811.1	1.71	-2.0	0.0016982	0.9999899999999999	-1.07	-2.6	-1.13	-1.28	-1.03	-2.9	-3.47	-2.21	Up2NoFDR	2.7700111634551887	4.736719089508373	1.71	0.00047367190895083734
ENSG00000272148.1	AC013403.2	1.56	-2.82	0.00354482	0.9999899999999999	-1.89	-3.2	-1.94	-2.31	-1.86	-3.28	-4.12	-3.39	Up2NoFDR	2.4504058126646817	3.8226330677569043	1.56	0.00038226330677569044
ENSG00000255073.8	ZFP91-CNTF	2.66	-2.32	0.0407948	0.9999899999999999	-0.9	-2.91	-1.64	-0.92	-0.36	-2.19	-1.97	-6.85	Up2NoFDR	1.3893951916952032	3.695791209909241	2.66	0.00036957912099092413
ENSG00000270106.6	TSNAX-DISC1	2.29	-0.96	0.02586686	0.9999899999999999	0.23	-1.84	0.45	0.08	0.07	-1.07	-0.63	-4.68	Up2NoFDR	1.587256287458147	3.6348168982791567	2.29	0.0003634816898279157
ENSG00000125740.14	FOSB	2.22	-0.2	0.02615025	0.9999899999999999	0.94	-1.23	2.44	0.52	-0.21	-1.15	-1.57	-1.24	Up2NoFDR	1.5825241548616595	3.5132036237928848	2.22	0.0003513203623792885
ENSG00000287296.1	AC011446.3	1.51	-2.03	0.00689653	0.9999899999999999	-1.19	-2.54	-0.97	-1.34	-1.53	-2.9	-3.47	-1.99	Up2NoFDR	2.1613693702647474	3.2636677490997688	1.51	0.00032636677490997687
ENSG00000254676.1	AP000873.4	1.48	-1.95	0.01228185	0.9999899999999999	-1.13	-2.44	-1.42	-1.1	-1.12	-2.43	-3.74	-1.9	Up2NoFDR	1.9107362110224133	2.827889592313172	1.48	0.0002827889592313172
ENSG00000271751.1	AP003392.5	2.05	-3.44	0.04777672	0.9999899999999999	-2.24	-3.58	-2.41	-2.43	-2.42	-3.52	-6.92	-2.94	Up2NoFDR	1.3207836690440085	2.707606521540217	2.05	0.0002707606521540217
ENSG00000274049.4	INO80B-WBP1	3.03	0.35	0.13586438	0.9999899999999999	1.83	-0.42	1.14	2.43	1.87	-6.98	1.36	2.25	Control	0.8668943887209383	2.626689997824443	3.03	0.0919341499238555
