geneID	geneSymbol	log2FC	AveExpr	P.Value	FDR	DMSO_EGF_4hr.AveExpr	DMSO_UT.AveExpr	2106343_DMSO_EGF_4hr1	2106344_DMSO_EGF_4hr2	2106345_DMSO_EGF_4hr3	2106328_DMSO_UT_1	2106329_DMSO_UT_2	2106330_DMSO_UT_3	Regulation	PRank	FCPRank	FCRank	FCPERank
ENSG00000269693.1	AC010422.6	7.91	-2.98	9.631999999999999e-08	0.0017684	0.99	-4.88	1.01	1.25	0.65	-7.0	-6.94	-6.87	Up2	7.016283526086251	55.49880269134224	7.91	0.0055498802691342245
ENSG00000269897.5	COMMD3-BMI1	6.76	-3.56	3.2622e-05	0.0246725	-0.14	-4.88	-0.4	-1.05	0.89	-7.0	-6.94	-6.87	Up2	4.486489416614646	30.328668456315004	6.76	0.0030328668456315005
ENSG00000256349.1	AP002748.4	5.17	-4.35	2.2886e-06	0.0052522	-1.65	-4.88	-1.45	-1.62	-2.23	-7.0	-6.94	-6.87	Up2	5.640430106396237	29.16102365006855	5.17	0.0029161023650068553
ENSG00000145198.14	VWA5B2	3.88	0.33	3.7777e-06	0.0077066	2.28	-1.49	2.08	2.54	2.19	-1.02	-2.3	-1.51	Up2	5.422772533846094	21.040357431322846	3.88	0.694331795233654
ENSG00000187862.12	TTC24	4.93	-3.43	0.00089003	0.0820909	-0.89	-4.35	-2.1	-0.49	-0.32	-7.0	-6.94	-3.7	Up2NoFDR	3.050595354461969	15.039435097497508	4.93	0.0015039435097497509
ENSG00000047365.12	ARAP2	3.15	0.31	1.9779e-05	0.022888	1.89	-1.16	1.73	2.07	1.84	-1.38	-1.99	-0.4	Up2	4.703795669536634	14.816956359040399	3.15	0.45932564713025237
ENSG00000101096.20	NFATC2	2.33	2.54	1.1723e-06	0.0043045	3.71	1.39	3.69	3.89	3.54	1.33	1.65	1.16	Up2	5.930961235013928	13.819139677582456	2.33	3.5100614781059436
ENSG00000276600.5	RAB7B	2.26	1.72	9.459200000000001e-07	0.0043045	2.86	0.61	2.98	2.76	2.81	0.68	0.33	0.74	Up2	6.024145591957305	13.614569037823511	2.26	2.3417058745056436
ENSG00000120738.8	EGR1	2.73	3.26	1.0794e-05	0.0160416	4.62	1.91	4.46	4.57	4.83	2.06	1.17	2.47	Up2	4.966817586270805	13.559412010519297	2.73	4.4203683154292905
ENSG00000248724.6	NPHP3-AS1	2.9	-2.56	3.8986e-05	0.026018799999999998	-1.03	-3.51	-1.13	-0.89	-1.31	-3.83	-4.13	-4.06	Up2	4.409091321545602	12.786364832482247	2.9	0.0012786364832482247
ENSG00000115194.10	SLC30A3	2.53	-0.44	4.4324e-05	0.026018799999999998	0.85	-1.58	1.03	0.62	0.85	-1.5	-1.27	-2.35	Up2	4.353361053795425	11.014003466102423	2.53	0.0011014003466102425
ENSG00000132334.16	PTPRE	2.56	-1.63	5.1296000000000005e-05	0.026908299999999996	-0.31	-2.65	-0.68	-0.29	-0.09	-3.09	-2.85	-2.78	Up2	4.289916499325948	10.98218623827443	2.56	0.001098218623827443
ENSG00000179133.13	C10orf67	2.22	1.39	1.1358e-05	0.0160416	2.51	0.3	2.61	2.57	2.32	0.64	-0.2	0.39	Up2	4.944698135652559	10.977229861148682	2.22	1.5258349506996667
ENSG00000170500.12	LONRF2	2.85	-2.74	0.00020351	0.0484119	-1.23	-3.61	-0.86	-1.44	-1.65	-4.67	-3.77	-4.06	Up2	3.6914142457109165	10.520530600276114	2.85	0.0010520530600276114
ENSG00000144847.12	IGSF11	2.74	-3.33	0.00029822	0.0553064	-1.82	-3.94	-1.7	-2.34	-1.82	-4.19	-4.62	-5.29	Up2NoFDR	3.525463234127914	9.659769261510487	2.74	0.0009659769261510488
ENSG00000125740.14	FOSB	2.37	-0.15	9.4851e-05	0.038178199999999995	1.05	-1.24	1.11	1.42	0.57	-1.16	-1.58	-1.26	Up2	4.022958086048987	9.5344106639361	2.37	0.0009534410663936101
ENSG00000128342.5	LIF	1.85	3.12	2.1193000000000002e-05	0.022888	4.04	2.2	4.16	4.31	3.66	2.29	2.2	2.08	Up2	4.673807561872227	8.646543989463622	1.85	2.69772172471265
ENSG00000275630.1	AC004816.2	2.53	-2.78	0.00042679	0.060742700000000004	-1.41	-3.53	-1.79	-1.73	-1.03	-3.83	-3.77	-4.55	Up2NoFDR	3.3697857649638228	8.525557985358471	2.53	0.0008525557985358472
ENSG00000123095.6	BHLHE41	2.33	-2.26	0.00030298	0.055626699999999994	-1.02	-3.07	-1.13	-1.44	-0.71	-3.09	-3.77	-3.41	Up2NoFDR	3.5185860387462546	8.198305470278775	2.33	0.0008198305470278775
ENSG00000280143.1	AP000892.3	2.34	-0.95	0.00051012	0.0659565	0.25	-1.96	0.62	0.17	-0.12	-1.44	-1.99	-2.97	Up2NoFDR	3.292327648985252	7.70404669862549	2.34	0.000770404669862549
ENSG00000256443.1	AP003559.1	2.44	-3.07	0.00078146	0.07840230000000001	-1.73	-3.7	-2.35	-1.91	-1.31	-4.19	-4.62	-4.06	Up2NoFDR	3.1070932469779566	7.581307522626215	2.44	0.0007581307522626215
ENSG00000179820.16	MYADM	1.23	4.77	1.4926e-06	0.0045417	5.39	4.16	5.32	5.39	5.45	4.28	4.19	4.01	Up2	5.826056562715623	7.166049572140217	1.23	3.4182056459108834
ENSG00000229334.1	AC046143.1	1.69	0.15	6.129e-05	0.0288532	1.01	-0.63	1.12	1.1	0.78	-0.62	-0.92	-0.53	Up2	4.21261037864789	7.119311539914933	1.69	0.10678967309872399
ENSG00000179388.9	EGR3	2.56	-1.72	0.00197034	0.1076759	-0.4	-2.7	-0.91	-0.71	0.28	-3.3	-3.77	-1.92	Up2NoFDR	2.7054588259282197	6.9259745943762425	2.56	0.0006925974594376243
ENSG00000116285.13	ERRFI1	1.12	7.81	8.414e-07	0.0043045	8.37	7.25	8.34	8.45	8.33	7.17	7.21	7.37	Up2	6.074997492319022	6.803997191397306	1.12	5.313921806481296
ENSG00000278195.2	SSTR3	2.33	-1.88	0.00120778	0.0917424	-0.65	-2.75	-0.44	-1.37	-0.32	-3.3	-3.48	-2.35	Up2NoFDR	2.918012166283881	6.798968347441444	2.33	0.0006798968347441444
ENSG00000259040.5	BLOC1S5-TXNDC5	3.92	-0.98	0.018859	0.25199429999999995	0.98	-2.16	0.4	0.72	1.75	-7.0	0.12	-1.89	Up2NoFDR	1.7244813394881893	6.759966850793702	3.92	0.0006759966850793702
ENSG00000111252.10	SH2B3	1.16	6.55	1.7315999999999999e-06	0.0045417	7.13	5.97	7.26	7.14	6.98	5.96	5.9	6.05	Up2	5.76155242285888	6.683400810516302	1.16	4.377627530888178
ENSG00000081923.14	ATP8B1	2.12	-0.81	0.00070643	0.0748593	0.28	-1.72	0.05	0.6	0.08	-2.75	-1.52	-1.32	Up2NoFDR	3.1509308658322355	6.6799734355643405	2.12	0.0006679973435564341
ENSG00000162595.6	DIRAS3	1.8	3.83	0.00023219	0.049741900000000006	4.73	2.94	4.39	4.49	5.3	2.72	3.21	2.88	Up2	3.6341564884662607	6.541481679239269	1.8	2.50538748314864
ENSG00000135625.7	EGR4	2.85	-3.42	0.00733147	0.1794743	-1.85	-3.85	-1.7	-2.47	-1.82	-7.0	-4.13	-3.41	Up2NoFDR	2.1348089381990527	6.084205473867301	2.85	0.0006084205473867302
